run_id,model,input,num_docs,F1@5,F1@10,F1@M,present_F1@5,absent_R@10,MAP@10,nDCG@10,dup_ratio,num_pred,recall_P,recall_R,recall_M,recall_U,decoder,reranker,MMR,seed,logged_at,train_subset,tfidf_fit,epochs,boost
B0_tfidf,TF-IDF,T+A,2000,0.1234,0.1143,0.1259,0.1692,0.0076,0.0977,0.1746,0.0245,19.9855,0.3851,0.0079,0.0057,0.0142,-,-,No,42,2026-07-11 04:11:54,,,,
B1_keybert,KeyBERT,T+A,2000,0.0501,0.0602,0.0496,0.1395,0.0088,0.0349,0.0775,0.0256,19.9975,0.2986,0.0287,0.0078,0.0004,-,-,No,42,2026-07-11 04:13:07,,,,
B2_keybert_mmr,KeyBERT+MMR,T+A,2000,0.0279,0.0261,0.0286,0.0577,0.0025,0.0216,0.0416,0.0001,19.9975,0.0996,0.0046,0.0035,0.0028,-,-,Yes,42,2026-07-11 04:14:17,,,,
B3_bart_beam5,BART,T+A,2000,0.1989,0.1322,0.2098,0.248,0.0079,0.166,0.2505,0.0,3.9445,0.3718,0.0135,0.0086,0.008,beam5,-,No,42,2026-07-11 04:20:50,10000,,,
B4_keybart_beam5,KeyBART,T+A,2000,0.2132,0.1452,0.2237,0.2657,0.0121,0.1807,0.2723,0.0,4.413,0.4034,0.0267,0.0085,0.0088,beam5,-,No,42,2026-07-11 04:43:40,10000,,,
P1_hybrid_fusion,Hybrid,T+A,2000,0.1806,0.1605,0.1861,0.2822,0.0285,0.1601,0.2631,0.0,36.0675,0.678,0.1093,0.0395,0.0222,Beam10,ScoreFusion,No,42,2026-07-11 05:05:14,,,,
P2_hybrid_fusion_mmr,Hybrid+MMR,T+A,2000,0.2168,0.1741,0.2245,0.2929,0.0192,0.185,0.2882,0.0,10.0,0.4796,0.0458,0.0134,0.0084,Beam10,ScoreFusion,lambda=0.5 (val-selected),42,2026-07-11 05:19:26,,,,
B0_tfidf_full,TF-IDF,T+A,20000,0.1261,0.1142,0.1275,0.1734,0.0113,0.0994,0.177,0.0231,19.986,0.3851,0.0118,0.0091,0.0165,-,-,No,42,2026-07-11 13:12:58,,100000,,
B1_keybert_full,KeyBERT,T+A,20000,0.0502,0.0601,0.0484,0.1369,0.006,0.034,0.0767,0.024,19.9993,0.2991,0.0208,0.0069,0.0026,-,-,No,42,2026-07-11 13:23:17,,,,
B2_keybert_mmr_full,KeyBERT+MMR,T+A,20000,0.0285,0.027,0.0297,0.059,0.0035,0.0215,0.0421,0.0002,19.9993,0.0989,0.0074,0.004,0.0033,-,-,Yes,42,2026-07-11 13:34:06,,,,
B3_bart_beam5_full,BART,T+A,20000,0.2445,0.1711,0.2653,0.3039,0.0132,0.2144,0.3088,0.0,4.9811,0.4682,0.0198,0.0101,0.0156,beam5,-,No,42,2026-07-11 15:10:46,530809,,2,
