run_id,model,F1@5,F1@10,F1@M,present_F1@5,absent_R@10,MAP@10,nDCG@10,dup_ratio,recall_P,recall_R,recall_M,recall_U,num_docs
B0_tfidf_full,TF-IDF,0.1261,0.1142,0.1275,0.1734,0.0113,0.0994,0.177,0.0231,0.3851,0.0118,0.0091,0.0165,20000
B1_keybert_full,KeyBERT,0.0502,0.0601,0.0484,0.1369,0.006,0.034,0.0767,0.024,0.2991,0.0208,0.0069,0.0026,20000
B2_keybert_mmr_full,KeyBERT+MMR,0.0285,0.027,0.0297,0.059,0.0035,0.0215,0.0421,0.0002,0.0989,0.0074,0.004,0.0033,20000
B3_bart_beam5_full,BART,0.2445,0.1711,0.2653,0.3039,0.0132,0.2144,0.3088,0.0,0.4682,0.0198,0.0101,0.0156,20000
B4_keybart_beam5_full,KeyBART,0.2377,0.1672,0.2632,0.2965,0.0097,0.2186,0.3111,0.0,0.4611,0.0164,0.0076,0.0114,20000
P1_hybrid_fusion_full,Hybrid,0.207,0.1842,0.2201,0.3137,0.0323,0.1876,0.3012,0.0,0.7601,0.0994,0.0477,0.0578,20000
P2_hybrid_fusion_mmr_full,Hybrid+MMR,0.256,0.2105,0.2662,0.342,0.0219,0.2312,0.3429,0.0,0.5649,0.04,0.0185,0.0187,20000
P5_pairwise_full,Hybrid+Pairwise,0.2388,0.2479,0.236,0.3109,0.046,0.2133,0.3396,0.0,0.647,0.0717,0.0379,0.0421,20000
P6_pairwise_prmu_full,Hybrid+Pairwise(PRMU-w),0.2267,0.2443,0.2228,0.298,0.0494,0.1994,0.3246,0.0,0.6351,0.0737,0.04,0.0467,20000
P7_scibert_hybrid_full,SciBERT Hybrid Ranker,0.285,0.2621,0.289,0.3619,0.0504,0.2659,0.3975,0.0,0.6916,0.0797,0.04,0.0449,20000
P8_full,Tournament specter2_base,0.2818,0.261,0.286,0.3606,0.0501,0.2635,0.3952,0.0,0.6876,0.0817,0.0398,0.0449,20000
P10_full,Tournament gte-reranker-modernbert-base,0.2849,0.2599,0.2913,0.3627,0.0465,0.2704,0.4002,0.0,0.6844,0.0708,0.0374,0.0446,20000
P11_full,Tournament Qwen3-Reranker-0.6B,0.2926,0.2632,0.2985,0.3715,0.0495,0.276,0.406,0.0,0.6902,0.0752,0.0399,0.0482,20000
P12_full,Tournament embeddinggemma-300m,0.267,0.2532,0.2703,0.3411,0.0472,0.2484,0.377,0.0,0.6643,0.0738,0.0363,0.0449,20000
P15_full,Tournament cs_roberta_base,0.285,0.2614,0.291,0.3636,0.0494,0.2698,0.3994,0.0,0.6859,0.0766,0.039,0.0469,20000
P13_ensemble_full,RRF(P7+P10+P11+P12),0.3017,0.2668,0.3081,0.3798,0.0506,0.2872,0.4174,0.0,0.7001,0.0796,0.0394,0.0471,20000
P16_team_ensemble_full,팀사양 RRF-union10(P8+P10+P11+P12),0.3011,0.2665,0.3071,0.38,0.0506,0.2866,0.4168,0.0,0.6991,0.08,0.0399,0.0468,20000
N1_notebook_zeroshot_te2000,"2차 노트북 (SciBERT+aux, KeyBART zeroshot)",0.229,0.1998,0.2329,0.2966,0.0334,0.1988,0.3156,0.0952,0.5302,0.054,0.0203,0.0297,2000
